,Bussiness__City,Bussiness__Country,Bussiness__Description,Bussiness__Name,Bussiness__StreetAddress,Bussiness__Zipcode,Customer__Address__line1,Customer__Address__line2,Customer__Email,Customer__Name,Customer__PhoneNumber,Invoice__Description,Invoice__DueDate,Invoice__IssueDate,Invoice__Number,Invoice__Tax,Invoice__BillDetails__Name,Invoice__BillDetails__Quantity,Invoice__BillDetails__Rate
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Licensed Fresh Pizza  ,114  ,94  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Unbranded Concrete Shirt  ,44  ,95  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Sleek Plastic Shirt  ,28  ,96  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Rustic Plastic Fish  ,83  ,44  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Intelligent Granite Computer  ,117  ,85  
5,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Ergonomic Fresh Salad  ,34  ,25  
6,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Generic Wooden Sausages  ,128  ,87  
7,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,121 Jacobs River ,Port-Vila ,Don_Zulauf40@hotmail.com,Don Zulauf,110-825-4839,veniam ,08-07-2023 ,12-05-2023,TG67TS4201156943079376302586,10,Handmade Wooden Shoes  ,4  ,23  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,Lorem irure magna dolor ,14-06-2023 ,12-05-2023,SV88JAVJ47172859123136611107,10,Fantastic Wooden Car  ,105  ,38  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,Lorem irure magna dolor ,14-06-2023 ,12-05-2023,SV88JAVJ47172859123136611107,10,Handcrafted Metal Car  ,72  ,29  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,Lorem irure magna dolor ,14-06-2023 ,12-05-2023,SV88JAVJ47172859123136611107,10,Unbranded Metal Soap  ,74  ,67  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,Lorem irure magna dolor ,14-06-2023 ,12-05-2023,SV88JAVJ47172859123136611107,10,Awesome Soft Hat  ,26  ,96  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,231 Jayne Fields ,Mwanza ,Ernser@yahoo.com,Terri Ernser,415-897-1517,Lorem irure magna dolor ,14-06-2023 ,12-05-2023,SV88JAVJ47172859123136611107,10,Awesome Steel Mouse  ,110  ,95  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Handmade Steel Hat  ,87  ,53  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Awesome Granite Sausages  ,45  ,20  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Gorgeous Wooden Shoes  ,60  ,85  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Incredible Concrete Bacon  ,12  ,18  
4,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Small Wooden Hat  ,29  ,52  
5,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Incredible Steel Hat  ,76  ,94  
6,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Incredible Cotton Keyboard  ,69  ,91  
7,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,533 Hintz Pine Cotton ,Ground ,Candace3@yahoo.com,Candace Gerhold,633-008-6596,ipsum enim voluptate consectetur fugiat cupidatat dolore elit ,03-07-2023 ,12-05-2023,PT50018498671400748986119,10,Ergonomic Concrete Chicken  ,11  ,58  
0,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,353 Cara Shoals ,Suchitlán ,Willis_Koelpin4@yahoo.com,Willis Koelpin,783-402-5895,Lorem laboris mollit ullamco quis ,19-06-2023 ,12-05-2023,MR1554185689725188627992186,10,Practical Cotton Table  ,34  ,33  
1,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,353 Cara Shoals ,Suchitlán ,Willis_Koelpin4@yahoo.com,Willis Koelpin,783-402-5895,Lorem laboris mollit ullamco quis ,19-06-2023 ,12-05-2023,MR1554185689725188627992186,10,Small Frozen Towels  ,114  ,66  
2,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,353 Cara Shoals ,Suchitlán ,Willis_Koelpin4@yahoo.com,Willis Koelpin,783-402-5895,Lorem laboris mollit ullamco quis ,19-06-2023 ,12-05-2023,MR1554185689725188627992186,10,Intelligent Soft Chips  ,43  ,95  
3,Jamestown,"Tennessee,USA", We are here to serve you.better. Reach out to us in case of any concern or feedbacks. ,NearBy Electronics,3741 Glory Road,38556,353 Cara Shoals ,Suchitlán ,Willis_Koelpin4@yahoo.com,Willis Koelpin,783-402-5895,Lorem laboris mollit ullamco quis ,19-06-2023 ,12-05-2023,MR1554185689725188627992186,10,Ergonomic Metal Salad  ,34  ,58  
